Author,Handle,Post,Date,Likes
Gaiku_JW,@GaikuJ,"@KenyaPower_Care What happening with electric in Timboroa, Kahoya (Gathuguu)? The transformer has been faulty for 2 months and since then we have been into darkness.",Jul-14,1
Moo_Oke,@Moo_Oke,"@KenyaPower  @KenyaPower_Care  @OAmollo #Rarieda #gotAkomPrimary #Miho 37165771405 Account number
0721373937
0733429083, over 1 year in the total darkness. We need our transformer back. We want light.",Jul-14,
Moo_Oke,@Moo_Oke,"@KenyaPower  @KenyaPower_Care  @OAmollo #Rarieda #gotAkomPrimary #Miho 37165771405 Account number
0721373937
0733429083, over 1 year in the total darkness. We need our transformer back. We want light.",Jul-14,
Efra the 1,@ManDante11,@KenyaPower_Care transformer behind st.Benedicta primary blew fuce yester night. There's serious power surge,Jul-14,
MW-,@emdabliu2014,"@KenyaPower_Care account 14140872160 Embakasi south, Imara daima, Jaharis, chief's camp and the surrounding areas no power since last night. There was an explosion at Jaharis transformer.",Jul-14,
A Bad Girl Like Millie,@Kay_Quii,"@KenyaPower @KenyaPower_Care Please check DM. There has been a loud transformer burst in Imara Daima.  Receiving low voltage around cosmas Ndeti road, v-club and new hope Church area",Jul-13,
A Bad Girl Like Millie,@Kay_Quii,@KenyaPower @KenyaPower_Care Please check DM. There has been a loud transformer burst in Imara Daima.  Receiving low voltage,Jul-13,
A Bad Girl Like Millie,@Kay_Quii,@KenyaPower @KenyaPower_Care Please check DM. There has been a loud transformer burst in Imara Daima.  Receiving low voltage,Jul-13,
A Bad Girl Like Millie,@Kay_Quii,@KenyaPower @KenyaPower_Care Please check DM. There has been a loud transformer burst in Imara Daima.  Receiving low voltage,Jul-13,
A Bad Girl Like Millie,@Kay_Quii,@KenyaPower @KenyaPower_Care Please check DM. There has been a loud transformer burst in Imara Daima.  Receiving low voltage,Jul-13,
Black Love,@BTattoos62587,"@KenyaPower_Care 
@KenyaPower 
Mnatuletea transformer ingine lini, hapa Ruiru watalam?",Jul-13,
NoFrills,@NoFrill10282358,@KenyaPower_Care How does voltage drop from 240 to 110 surely? Is it a faulty transformer or wat?,Jul-13,
Kirigo Githinji,@Kkanyekanyi,"Excuse me please my complaints is there has been no power in Ruthagati village ,Karatina for more than seven days due to a faulty transformer I know it's end of financial year but however that doesn't concern me as a customer  we need services",Jul-13,
M Otiende,@M_Otiende,"@KenyaPower_Care ,  my neighbourhood in Kilifi  has not had power for 3 days now. 

You guys were cutting trees and did something that messed up our transformer and it had to be taken 60kms to Mombasa for repairs - that's what your Kilifi office says and ",Jul-13,
Stephanie,@stephanieouma,"@KenyaPower_Care Transformer imeblow, Kenvic school rd in Ngong Vet area. No lights since morning.",Jul-13,
Shush Indibeh,@indibeh75045,@KenyaPower_Care your people took our transformer last week Saturday and they haven’t fixed it till today. Ref no. 11526787 . Noone is updating us on the progress.,Jul-13,
Paul,@MidoPol2,"in kakamega county,   Lukuyani ,   we are almost two weeks without power.  this is affecting our business.  what makes you too long to bring a new transformer? @KenyaPower @KenyaPower_Care",Jul-13,1
LWK,@LWK196974,"@KenyaPower_Care Why is Tora Estate, Thika, still without power? 4 days ago, you said it was a transformer issue. Our food is spoiling and we pay for electricity like everyone else. Where is the backup transformer? Do you want us to bring our spoiled food",Jul-13,
LWK,@LWK196974,"Why is Tora Estate, Thika, still experiencing a power outage? 4 days ago, your reps said it was a transformer problem and it wouldn’t take long to fix. Now, our food is spoiling and we are facing massive inconvenience. We pay for electricity just like everyone else.@",Jul-13,
Neema Rhonnah Mkenda,@nemz__,"@KenyaPower_Care @KenyaPower it's been 5 days now, about to be 6. No power at Mirema serviced apartments after the transformer caught fire on Monday night.",Jul-13,
Ogogo,@johnochieng15,"@KenyaPower_Care can be so bogus at times. We spend the whole day without power, and sleep in darkness at Greenfields Estate under your nose. How long does it take to repair a transformer? @KenyaPower_Care ED should go.",Jul-12,
jibril parker,@jessy_park65987,"It's too much like frl,naishi kinoo mamangina ,shida ni transformer ililipuka,",Jul-12,
#pointblankKE,@micahramaphosa,"@KenyaPower_Care when is the Transformer at Mama ngina being restored?It's been a week!!!!!#KinooTransformer  
#Kinoo",Jul-12,
#pointblankKE,@micahramaphosa,@KenyaPower_Care nikama hapa kinoo tunafaa kuimport transformer? It's been a whole week na Giza,Jul-12,
Eston Gichanga,@kurigicha,"We are now at one week without lights because your guys came and picked the transformer. The stories have been tunawaletea ingine. The place is so insecure and there are two schools right where that transformer was. How long should we continue waiting? Kinoo, mamangina, wambaa rd",Jul-12,
thelma,@thelmosky,"@KenyaPower_Care We had no power since yesterday at noon due to a faulty transformer with no communication or response from the Kilifi town Kenya Power office. I have reported the incidence repeatedly since yesterday 
Here’s my complaint no. 
11547015",Jul-12,
GiftNjururi,@GiftMumbi760454,37194640910. We have been without power for 10 days now. Return The transformer,Jul-12,
Kirigo Githinji,@Kkanyekanyi,"@KenyaPower_Care can someone kindly explain why a certain village in Mathira called ruthagati has not had power for more than seven days simply because a transformer is faulty,is #occuppykenyapower# the language that will make you take action",Jul-12,
victor onyango,@victoro91477971,Good evening @kenya_care68031 there is a transformer issue at Jericho number saba stage. Nothing has been done so far since Tuesday. Lighting struck it on the same day and your guys came but nothing was done. Today is Friday without lights. Kindly assist,Jul-12,
wambothemua_,@wambo_gwance,There is electricity at maasai mall stage ongata rongai...issue with the transformer,Jul-12,1
Brian,@___visualss,"@KenyaPower_Care 
No power for last two weeks at Kongasis korifar shopping centre Nakuru
There is a faulty transformer
Mtr no. 46202338714
Ac no 143961052",Jul-12,
Godaib Sisso,@sisso82141,"There is a power cut in around mirema area due to transformer failure since monday, and it is just toooo much since things stored are all rotten and there is nothing being done or any information given. What a poor administration.. 5daaays damn, please sought it ASAP",Jul-12,
zaina omar,@zainaomar7,There is a transformer at KCB mwandoni area where the wire lines are removing sparks and smoke every 5 minutes. Kindly n urgently resolve the issue.,Jul-12,1
Cindy Andrew,@Lilithcindy_lc,Kutoka Monday mlibeba transformer yetu ati mumeenda kutengeneza...munatuharibia chakula ziko kwa fridge na biashara na bado mna except tulipe stima #kenyapowermustgo #kengenisbetter,Jul-12,2
Claudio lopez,@lopezclaudio101,"Power has been out since yesterday 2pm, almost a full 24 hrs 
@KenyaPower_Care please address the issue.
Location 87Kinoo opposite Total.
The transformer there blew a fuse.",Jul-12,
Just_cnn,@Catenje78292153,@KenyaPower_Care no power in Total 87 (Waiyaki Way) Transformer was omitting smoke and hasn;t been fixed since then!,Jul-12,
Kelvin Kioko,@IamKlvin,@KenyaPower_Care see the work of your amazing field agents. They looked at the overloaded power lines saw it was great and decided a transformer isn’t necessary as we need to hear the token meters sing your praises,Jul-12,
Just_cnn,@Catenje78292153,@KenyaPower_Care Check on the transformer along Waiyaki Way opposite Total 87 it blew up and we haven't had lights since then,Jul-12,
Trojan_goat,@carlton_cliff,@KenyaPower_Care nyi ndio next sasa  tutawasalimia vizuri ...since Tuesday you you mean you don't have engineers to repair a transformer struck by lightning... people are in the dark then end month mulete monthly bill,Jul-12,1
Levintum,@levintumtours,"Since last week Thursday there is no power in Kinoo, mama ngina school. Metre no. 37170134086. @KIMANIICHUNGWAH  what is happening?? Kenya power took the transformer and they haven't replaced it.",Jul-11,3
Just_cnn,@Catenje78292153,"@KenyaPower_Care 
Nimekuwa kwa giza whole day whilst that transformer is smoking hapo opposite Total 87 Kinoo why havent yiu done anything? 
Metre number: 45135895196",Jul-11,
Just_cnn,@Catenje78292153,@KenyaPower_Care the transformer opposite Total Petro Station along Waiyaki Way is omitting smoke and we have no lights. Send your representatives to fix it.,Jul-11,
Denzel,@DenzelNgugi31,@KenyaPower_Care It's now three months without electricity  yet weh have public boarding schools in the area .Is learning continuing really ?Kitui county Mwingi central subcounty Karunga secondary .How long does it take to repair a fault transformer tutaw,Jul-11,
Martin Ngugi,@045Dee,"since Monday we have had no  electricity...you guys came yesterday...took transformer na bado no signs 
Location kibichiku wangige
Do something",Jul-11,1
thelma,@thelmosky,"@KenyaPower_Care hamna transformer spare such that when one blows you replace it immediately? Surely 
Tumeshinda bila Stima mnasema hadi kesho",Jul-11,
Martin Ngugi,@045Dee,"since Monday we have had no  electricity...you guys came yesterday...took transformer na bado no signs 
Location kibichiku wangige
Do something",Jul-11,
꧁༒☬Rïppēr☬༒꧂,@Rayoh_nj,Since Monday we have no lights  then on Tuesday they came and took the transformer i wonder whats happening upto today i haven't seen anyone i wonder untill when will we stay in darkness tomorrow is Friday and they won't have restored we will have to stay in darkness untill Mondy,Jul-11,
Claudio lopez,@lopezclaudio101,"@KenyaPower_Care Hi, I'm at 3٪ I don't know if you'll receive this in time.
At 87 Kinoo opposite Total there's a transformer there that looks like it's about to explode. Same transformer gives the building I stay power so please fix it.",Jul-11,
Awicko,@CharlesFrezier,"You guys kindly come to syokimau , mwananchi road and sort out the issue of transformer",Jul-11,1
Elvis Cuddlesome,@ElvisCudd,Hae I sent you guys a message like two weeks ago..you came and picked transformer 3 weeks ago and never returned ..we have been in blackout ever since whats the problem 3 weeks no electricity at huruma Daniel komboni road area total blackout..please come fix the situation,Jul-11,
Bush Man Africa,@lomelo_ekai,"@KenyaPower_Care we are in a mess two weeks ago we have been in dark and no one is coming, food through out, medical and work have been in stalk. you took a transformer and never brought it back million of peoples are complaining.",Jul-11,
Jacob Juma,@MurungaPressy,"@KenyaPower_Care paid but did not receive token 46202091248
Also in marurui (SPRINGS PLAZA)(Supreme Valley Suites) we have no power since morning (transformer issue) please do something)",Jul-11,
githinji,@githinji1539801,"No lights from yesterday at night. Transformer located opposite kamwirigi primary school. Gatundu North 
Kindly assist accordingly",Jul-11,
Gemini Vaghela,@geminivaghela,"@KenyaPower_Care no power in lavington ac no 3720780 pls don’t call 
Check the transformer at the corner of Mbaazi av and vanga rd",Jul-11,
Norbert Mungai,@MungaiNorbert,@KenyaPower_Care when will you  return our transformer,Jul-11,
shazzmello,@Shazzmello,"@KenyaPower_Care @KenyaPower_Care @DenisKiprotich 
Kindly note that we lost power in Kinoo near  Mama Ngina PCEA School for a week now,  from last week Thursday.The transformer was notably removed.All the apartments around there have no power. Ticket numb",Jul-11,
Cindy Andrew,@Lilithcindy_lc,You people came and took our transformer @kibichiku  in the name of maintenance since Monday hakuna stima and food is going bad in the fridge munataka kusalimiwa pia #kenyapowermustgo,Jul-11,1
